,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,0,partie,part
1,2,2,2,2,chercher,search
2,4,5,5,5,pensais,thought
3,7,9,9,9,mois,month
4,8,10,10,10,frère,brother
5,9,11,11,11,laisser,let
6,12,15,16,16,eux,them
7,13,16,17,17,ville,city
8,15,18,19,19,parlé,speak
9,18,21,22,22,bébé,baby
10,22,25,27,27,revoir,meet again
11,23,26,28,28,aucune,any
12,24,27,29,29,place,square
13,26,29,31,31,compris,understood
14,28,31,33,33,étaient,were
15,30,33,36,36,pourrais,could
16,32,35,38,38,donner,give
17,33,36,39,39,type,type
18,38,41,44,45,façon,way
19,39,43,46,47,dont,whose
20,40,44,47,48,trouve,find
21,41,45,48,49,premier,first
22,42,46,49,50,perdu,lost
23,43,47,50,51,main,hand
24,45,49,52,54,pouvoir,power
25,49,54,57,59,tellement,so much
26,52,58,62,65,venez,come
27,53,59,63,66,devant,in front of
28,56,62,67,70,chambre,bedroom
29,57,63,68,71,mis,placed
30,59,65,70,73,droit,law
31,60,66,71,74,aimerais,would like to
32,61,67,72,75,aujourd'hui,today
33,62,68,73,76,mari,husband
34,66,72,78,81,attendez,Wait
35,71,77,83,87,terre,Earth
36,72,78,84,88,compte,account
37,73,79,85,90,loin,far
38,75,81,87,92,croire,believe
39,77,83,89,96,aura,will have
40,78,84,90,97,filles,girls
41,79,85,91,98,jouer,to play
